Vehicle Name,Hybrid,SuggestedRetailPrice,EngineSize,Cylinders,Horsepower,HighwayMPG,Weight,WheelBase
Audi A4 3.0 Quattro 4dr manual,0,33430,3,6,220,26,3583,104
Audi A4 3.0 Quattro 4dr auto,0,34480,3,6,220,25,3627,104
Audi A6 3.0 4dr,0,36640,3,6,220,27,3561,109
Audi A6 3.0 Quattro 4dr,0,39640,3,6,220,25,3880,109
BMW 325Ci 2dr,0,30795,2.5,6,184,29,3197,107
BMW 325Ci convertible 2dr,0,37995,2.5,6,184,27,3560,107
BMW 325xi 4dr,0,30245,2.5,6,184,27,3461,107
BMW 330i 4dr,0,35495,3,6,225,30,3285,107
BMW 330Ci 2dr,0,36995,3,6,225,30,3285,107
BMW 330xi 4dr,0,37245,3,6,225,29,3483,107
BMW 525i 4dr,0,39995,2.5,6,184,28,3428,114
Buick LeSabre Limited 4dr,0,32245,3.8,6,205,29,3591,112
Buick Park Avenue 4dr,0,35545,3.8,6,205,29,3778,114
Cadillac CTS VVT 4dr,0,30835,3.6,6,255,25,3694,113
Chrysler 300M Special Edition 4dr,0,33295,3.5,6,255,27,3650,113
Chrysler Sebring Limited convertible 2dr,0,30950,2.7,6,200,28,3448,106
Ford Crown Victoria LX Sport 4dr,0,30315,4.6,8,239,25,4057,115
Infiniti G35 4dr,0,32445,3.5,6,260,26,3677,112
Infiniti I35 4dr,0,31145,3.5,6,255,26,3306,108
Jaguar X-Type 3.0 4dr,0,33995,3,6,227,25,3516,107
Lexus ES 330 4dr,0,32350,3.3,6,225,29,3460,107
Lexus IS 300 4dr manual,0,31045,3,6,215,25,3255,105
Lexus IS 300 4dr auto,0,32415,3,6,215,24,3285,105
Lincoln LS V6 Luxury 4dr,0,32495,3,6,232,26,3681,115
Lincoln LS V6 Premium 4dr,0,36895,3,6,232,26,3681,115
Mercedes-Benz C240 4dr,0,32280,2.6,6,168,25,3360,107
Mercedes-Benz C240 4dr,0,33480,2.6,6,168,25,3360,107
Mercedes-Benz C320 Sport 4dr,0,35920,3.2,6,215,26,3430,107
Mercedes-Benz C320 4dr,0,37630,3.2,6,215,26,3450,107
Mercury Grand Marquis LS Ultimate 4dr,0,30895,4.6,8,224,25,4052,115
Mercury Marauder 4dr,0,34495,4.6,8,302,23,4195,115
Saab 9-3 Arc Sport 4dr,0,30860,2,4,210,28,3175,105
Saab 9-3 Aero 4dr,0,33360,2,4,210,28,3175,105
Saab 9-5 Arc 4dr,0,35105,2.3,4,220,29,3470,106
Saab 9-5 Aero 4dr,0,39465,2.3,4,250,29,3470,106
Subaru Outback H-6 VDC 4dr,0,31545,3,6,212,26,3630,104
Toyota Avalon XLS 4dr,0,30920,3,6,210,29,3439,107
Volkswagen Passat GLX V6 4MOTION 4dr,0,33180,2.8,6,190,26,3721,106
Volkswagen Passat W8 4MOTION 4dr,0,39235,4,8,270,25,3953,106
Volvo S60 2.5 4dr,0,31745,2.5,5,208,27,3903,107
Volvo S60 T5 4dr,0,34845,2.3,5,247,28,3766,107
Volvo S60 R 4dr,0,37560,2.5,5,300,25,3571,107
Volvo S80 2.9 4dr,0,37730,2.9,6,208,28,3576,110
Volvo S80 2.5T 4dr,0,37885,2.5,5,194,27,3691,110
Acura 3.5 RL 4dr,0,43755,3.5,6,225,24,3880,115
Acura 3.5 RL w/Navigation 4dr,0,46100,3.5,6,225,24,3893,115
Audi A4 3.0 convertible 2dr,0,42490,3,6,220,27,3814,105
Audi A4 3.0 Quattro convertible 2dr,0,44240,3,6,220,25,4013,105
Audi A6 2.7 Turbo Quattro 4dr,0,42840,2.7,6,250,25,3836,109
Audi A6 4.2 Quattro 4dr,0,49690,4.2,8,300,24,4024,109
Audi A8 L Quattro 4dr,0,69190,4.2,8,330,24,4399,121
Audi S4 Quattro 4dr,0,48040,4.2,8,340,20,3825,104
BMW 330Ci convertible 2dr,0,44295,3,6,225,28,3616,107
BMW 530i 4dr,0,44995,3,6,225,30,3472,114
BMW 545iA 4dr,0,54995,4.4,8,325,26,3814,114
BMW 745i 4dr,0,69195,4.4,8,325,26,4376,118
BMW 745Li 4dr,0,73195,4.4,8,325,26,4464,123
Buick Park Avenue Ultra 4dr,0,40720,3.8,6,240,28,3909,114
Cadillac Deville 4dr,0,45445,4.6,8,275,26,3984,115
Cadillac Deville DTS 4dr,0,50595,4.6,8,300,26,4044,115
Cadillac Seville SLS 4dr,0,47955,4.6,8,275,26,3992,112
Infiniti M45 4dr,0,42845,4.5,8,340,23,3851,110
Infiniti Q45 Luxury 4dr,0,52545,4.5,8,340,23,3977,113
Jaguar S-Type 3.0 4dr,0,43895,3,6,235,26,3777,115
Jaguar S-Type 4.2 4dr,0,49995,4.2,8,294,28,3874,115
Jaguar S-Type R 4dr,0,63120,4.2,8,390,24,4046,115
Jaguar Vanden Plas 4dr,0,68995,4.2,8,294,28,3803,119
Jaguar XJ8 4dr,0,59995,4.2,8,294,28,3803,119
Jaguar XJR 4dr,0,74995,4.2,8,390,24,3948,119
Lexus GS 300 4dr,0,41010,3,6,220,25,3649,110
Lexus GS 430 4dr,0,48450,4.3,8,300,23,3715,110
Lexus LS 430 4dr,0,55750,4.3,8,290,25,3990,115
Lincoln LS V8 Sport 4dr,0,40095,3.9,8,280,24,3768,115
Lincoln LS V8 Ultimate 4dr,0,43495,3.9,8,280,24,3768,115
Lincoln Town Car Signature 4dr,0,41815,4.6,8,239,25,4369,118
Lincoln Town Car Ultimate 4dr,0,44925,4.6,8,239,25,4369,118
Lincoln Town Car Ultimate L 4dr,0,50470,4.6,8,239,25,4474,124
Mercedes-Benz C32 AMG 4dr,0,52120,3.2,6,349,21,3540,107
Mercedes-Benz CL500 2dr,0,94820,5,8,302,24,4085,114
Mercedes-Benz CL600 2dr,0,128420,5.5,12,493,19,4473,114
Mercedes-Benz CLK320 coupe 2dr (convertible),0,45707,3.2,6,215,26,3770,107
Mercedes-Benz CLK500 coupe 2dr (convertible),0,52800,5,8,302,22,3585,107
Mercedes-Benz E320 4dr,0,48170,3.2,6,221,27,3635,112
Mercedes-Benz E500 4dr,0,57270,5,8,302,20,3815,112
Mercedes-Benz S430 4dr,0,74320,4.3,8,275,26,4160,122
Mercedes-Benz S500 4dr,0,86970,5,8,302,24,4390,122
Saab 9-3 Arc convertible 2dr,0,40670,2,4,210,29,3480,105
Saab 9-3 Aero convertible 2dr,0,43175,2,4,210,30,3700,105
Volvo C70 LPT convertible 2dr,0,40565,2.4,5,197,28,3450,105
Volvo C70 HPT convertible 2dr,0,42565,2.3,5,242,26,3450,105
Volvo S80 T6 4dr,0,45210,2.9,6,268,26,3653,110
